state,actual_2024,naive_forecast_2025,model_forecast_2025,task,actual_2025
Johor,17138.0,17138.0,19536.57556205502,domestic_visitors,18197.0
Kedah,14651.0,14651.0,15577.25772296856,domestic_visitors,15608.0
Kelantan,10514.0,10514.0,11334.899703539944,domestic_visitors,12062.0
Melaka,19128.0,19128.0,20543.86173301681,domestic_visitors,20832.0
Negeri Sembilan,17785.0,17785.0,19719.054508075616,domestic_visitors,19357.0
Pahang,20174.0,20174.0,21265.385803669997,domestic_visitors,23161.0
Perak,21776.0,21776.0,21773.338017417987,domestic_visitors,23642.0
Perlis,3225.0,3225.0,6043.2573797290615,domestic_visitors,3756.0
Pulau Pinang,16605.0,16605.0,19212.567090378387,domestic_visitors,17718.0
Sabah,20592.0,20592.0,21633.168699595404,domestic_visitors,22361.0
Sarawak,19626.0,19626.0,21067.475747138393,domestic_visitors,22722.0
Selangor,34461.0,34461.0,32116.04453202414,domestic_visitors,36376.0
Terengganu,14461.0,14461.0,14977.45662052455,domestic_visitors,15462.0
W.P. Kuala Lumpur,26983.0,26983.0,31763.426555279413,domestic_visitors,35060.0
W.P. Labuan,450.0,450.0,559.9883218815667,domestic_visitors,604.0
W.P. Putrajaya,2557.0,2557.0,2783.752676557892,domestic_visitors,3146.0
