tourism_aspect,n,positive_pct,negative_pct,net_sentiment,weighted_net_sentiment,low_sample_warning
accessibility,74.0,35.1,52.7,-17.6,-22.3,False
accommodation,651.0,44.5,20.6,24.0,30.6,False
beach_marine,506.0,44.7,31.6,13.0,12.0,False
cleanliness,199.0,33.7,61.8,-28.1,-7.3,False
climate_weather,705.0,39.7,31.1,8.7,-0.3,False
crowding,91.0,40.7,42.9,-2.2,2.3,False
culture_heritage,489.0,57.5,23.1,34.4,40.7,False
facilities,136.0,22.1,61.0,-39.0,-40.8,False
food,1804.0,54.2,28.3,25.8,29.8,False
hospitality,411.0,43.6,51.6,-8.0,12.2,False
local_business,413.0,40.9,30.5,10.4,12.8,False
nature_wildlife,315.0,65.4,17.1,48.3,50.3,False
price_value,495.0,36.8,44.6,-7.9,1.4,False
safety,241.0,36.9,54.4,-17.4,-9.3,False
seasonality,15.0,33.3,26.7,6.7,0.9,True
transport,1305.0,25.0,51.6,-26.6,-14.7,False
