year_quarter,sustainability_dimension,n,net_sentiment
2020Q4,economic,1.0,0.0
2020Q4,environmental,2.0,50.0
2020Q4,infrastructure,1.0,0.0
2021Q2,infrastructure,1.0,0.0
2021Q4,economic,5.0,60.0
2021Q4,environmental,5.0,40.0
2022Q1,economic,1.0,100.0
2022Q1,environmental,5.0,20.0
2022Q1,infrastructure,8.0,25.0
2022Q2,economic,8.0,50.0
2022Q2,environmental,14.0,50.0
2022Q2,infrastructure,11.0,36.4
2022Q2,social,2.0,0.0
2022Q3,economic,27.0,55.6
2022Q3,environmental,22.0,31.8
2022Q3,infrastructure,23.0,60.9
2022Q3,social,9.0,88.9
2022Q4,economic,9.0,44.4
2022Q4,environmental,6.0,33.3
2022Q4,infrastructure,14.0,42.9
2022Q4,social,5.0,20.0
2023Q1,economic,10.0,70.0
2023Q1,environmental,7.0,57.1
2023Q1,infrastructure,11.0,54.5
2023Q1,social,6.0,50.0
2023Q2,economic,7.0,14.3
2023Q2,environmental,6.0,66.7
2023Q2,infrastructure,12.0,25.0
2023Q2,social,4.0,0.0
2023Q3,economic,17.0,58.8
2023Q3,environmental,7.0,0.0
2023Q3,infrastructure,6.0,-16.7
2023Q3,social,6.0,-16.7
2023Q4,economic,32.0,84.4
2023Q4,environmental,26.0,69.2
2023Q4,infrastructure,14.0,57.1
2023Q4,social,33.0,84.8
2024Q1,economic,28.0,3.6
2024Q1,environmental,31.0,16.1
2024Q1,infrastructure,22.0,36.4
2024Q1,social,11.0,0.0
2024Q2,economic,39.0,30.8
2024Q2,environmental,30.0,10.0
2024Q2,infrastructure,32.0,0.0
2024Q2,social,16.0,6.2
2024Q3,economic,43.0,41.9
2024Q3,environmental,27.0,44.4
2024Q3,infrastructure,24.0,29.2
2024Q3,social,14.0,14.3
2024Q4,economic,74.0,24.3
2024Q4,environmental,26.0,26.9
2024Q4,infrastructure,22.0,13.6
2024Q4,social,27.0,18.5
2025Q1,economic,134.0,29.9
2025Q1,environmental,118.0,8.5
2025Q1,infrastructure,118.0,7.6
2025Q1,social,81.0,13.6
2025Q2,economic,199.0,12.6
2025Q2,environmental,167.0,18.0
2025Q2,infrastructure,176.0,22.2
2025Q2,social,101.0,15.8
2025Q3,economic,135.0,36.3
2025Q3,environmental,102.0,18.6
2025Q3,infrastructure,101.0,18.8
2025Q3,social,54.0,29.6
2025Q4,economic,84.0,35.7
2025Q4,environmental,70.0,20.0
2025Q4,infrastructure,74.0,20.3
2025Q4,social,57.0,40.4
2026Q1,economic,97.0,-7.2
2026Q1,environmental,99.0,26.3
2026Q1,infrastructure,96.0,2.1
2026Q1,social,64.0,20.3
2026Q2,economic,72.0,19.4
2026Q2,environmental,56.0,14.3
2026Q2,infrastructure,69.0,-2.9
2026Q2,social,30.0,23.3
2026Q3,economic,166.0,35.5
2026Q3,environmental,84.0,9.5
2026Q3,infrastructure,106.0,4.7
2026Q3,social,80.0,12.5
NaT,economic,1080.0,9.1
NaT,environmental,544.0,-6.8
NaT,infrastructure,1037.0,-35.4
NaT,social,534.0,-7.3
