State,Year,STI,Economic_0_100,Social_0_100,Environmental_0_100,STI_Stability_Score_0_100,quadrant,environmental_readiness_pct
Johor,2017,69.13018405313474,34.0107735605489,55.35778858276914,70.29283448236731,83.5,"Environmental recovery, tourism weakness",83.1
Johor,2018,78.62302883512623,48.702134140179794,66.81308060254464,67.6047449843549,83.5,"Environmental recovery, tourism weakness",83.1
Johor,2019,73.65759301773926,50.667237706088876,71.69320717901459,52.36542881080752,83.5,"Environmental recovery, tourism weakness",83.1
Johor,2020,63.408317926683345,10.043046680220145,66.35633111786812,67.81344369536819,83.5,"Environmental recovery, tourism weakness",83.1
Johor,2021,66.91859357735508,14.48880589914052,63.958862647267075,73.29050099085825,83.5,"Environmental recovery, tourism weakness",83.1
Johor,2022,76.50891975830699,34.86153944858472,70.27351479141176,70.95789006402204,83.5,"Environmental recovery, tourism weakness",83.1
Johor,2023,77.8948681003493,33.62412829028049,76.18199633264658,69.45005620139109,83.5,"Environmental recovery, tourism weakness",83.1
Johor,2024,85.62874941844946,49.890395763220056,79.45721807090607,69.26075100182652,83.5,"Environmental recovery, tourism weakness",83.1
Kedah,2017,79.901634795728,36.849271343247594,53.24174593295161,90.6962622894006,83.7,Overall deterioration,83.1
Kedah,2018,82.98433913101576,43.842477522765485,49.07393774696172,94.96482668016299,83.7,Overall deterioration,83.1
Kedah,2019,79.45454367393127,46.942251706826426,48.5072766602307,86.33686798648783,83.7,Overall deterioration,83.1
Kedah,2020,67.42022260296616,19.59209447163679,37.33721990640267,93.41014997954044,83.7,Overall deterioration,83.1
Kedah,2021,69.12492730082835,11.695571578990501,40.37665031228793,100.0,83.7,Overall deterioration,83.1
Kedah,2022,77.55494002692262,30.745885551745438,49.88133455942429,93.67565343161192,83.7,Overall deterioration,83.1
Kedah,2023,74.59951701761057,31.338476030265426,54.28987847114571,83.74022497981785,83.7,Overall deterioration,83.1
Kedah,2024,89.35192216449744,62.12300983706742,61.83445104612259,82.44191099078067,83.7,Overall deterioration,83.1
Kelantan,2017,80.91399431124975,65.5898183152273,34.66440495656881,87.07770156190155,76.2,Sustainable improvement,64.9
Kelantan,2018,77.68591994294331,65.20396160931334,29.94971325727723,85.23318531500036,76.2,Sustainable improvement,64.9
Kelantan,2019,79.0321931563579,74.42601096509155,25.13499874264585,85.04601266469923,76.2,Sustainable improvement,64.9
Kelantan,2020,49.868488291086,13.32152618918379,14.632760839081953,83.98759677361815,76.2,Sustainable improvement,64.9
Kelantan,2021,70.12103543433147,53.737177743506045,14.141400600904163,92.96318045799308,76.2,Sustainable improvement,64.9
Kelantan,2022,75.05636130443035,67.29131733789646,19.257318509748362,87.8426013523674,76.2,Sustainable improvement,64.9
Kelantan,2023,76.31444058823,67.57773028811171,23.344881453827714,86.51584065628619,76.2,Sustainable improvement,64.9
Kelantan,2024,78.40784792136645,71.72935054202753,23.751052056737674,87.06845186078313,76.2,Sustainable improvement,64.9
Melaka,2017,86.64189251524498,94.90650104928639,71.93013345958221,43.86253948134557,83.2,"Environmental recovery, tourism weakness",83.1
Melaka,2018,88.25583859448194,84.541596677737,75.22513277127102,51.91310906709836,83.2,"Environmental recovery, tourism weakness",83.1
Melaka,2019,81.22090664686672,95.99797696948048,78.67567817342348,26.79311147288101,83.2,"Environmental recovery, tourism weakness",83.1
Melaka,2020,59.998755200730315,27.94116050478836,61.567473518216744,51.93653805888968,83.2,"Environmental recovery, tourism weakness",83.1
Melaka,2021,59.78405128413093,14.793425652643876,68.85495735200239,55.11538431872791,83.2,"Environmental recovery, tourism weakness",83.1
Melaka,2022,88.54788025033258,67.50622338220649,79.26706122694107,61.79242033741331,83.2,"Environmental recovery, tourism weakness",83.1
Melaka,2023,95.07890071850498,87.09211732224726,80.23000412986734,58.79144833238311,83.2,"Environmental recovery, tourism weakness",83.1
Melaka,2024,100.0,98.10769912817248,80.62628594606267,59.62842871544552,83.2,"Environmental recovery, tourism weakness",83.1
Negeri Sembilan,2017,65.71649562293874,64.08845802342275,53.562726900593695,42.664675087748115,84.0,"Environmental recovery, tourism weakness",83.1
Negeri Sembilan,2018,79.51489919107874,73.71550609377657,55.41825625125036,60.35362609895157,84.0,"Environmental recovery, tourism weakness",83.1
Negeri Sembilan,2019,75.16451095158489,75.96117840392347,50.60848612997631,54.45475539594003,84.0,"Environmental recovery, tourism weakness",83.1
Negeri Sembilan,2020,61.63256336208733,25.871573908609008,45.42715615929355,70.5738180952068,84.0,"Environmental recovery, tourism weakness",83.1
Negeri Sembilan,2021,54.645080697727664,9.722979996201284,42.869197204871455,71.49025770321559,84.0,"Environmental recovery, tourism weakness",83.1
Negeri Sembilan,2022,78.17622397864022,60.193002371856,49.259150197569355,73.26661169492483,84.0,"Environmental recovery, tourism weakness",83.1
Negeri Sembilan,2023,83.85860645616158,67.7654008322811,54.22446640930715,74.21005646067641,84.0,"Environmental recovery, tourism weakness",83.1
Negeri Sembilan,2024,87.1920772778321,70.81441799390375,59.114481772491736,74.10339671577532,84.0,"Environmental recovery, tourism weakness",83.1
Pahang,2017,67.10248766705799,41.328183641250114,54.28987847114571,61.81466124084738,80.4,"Environmental recovery, tourism weakness",83.1
Pahang,2018,87.51674170541668,75.3534155059867,61.49711706302082,69.25699864192757,80.4,"Environmental recovery, tourism weakness",83.1
Pahang,2019,79.31371833577131,77.56738342789524,58.542876292403456,54.37200202169418,80.4,"Environmental recovery, tourism weakness",83.1
Pahang,2020,60.577892381776856,25.483165421601733,53.82324019975453,61.58662430397893,80.4,"Environmental recovery, tourism weakness",83.1
Pahang,2021,59.38089702281988,12.222429388809076,48.852979594659445,73.54842708544918,80.4,"Environmental recovery, tourism weakness",83.1
Pahang,2022,77.09246069385722,49.58535611755768,58.99468138372266,70.75036712054926,80.4,"Environmental recovery, tourism weakness",83.1
Pahang,2023,84.02003990236418,59.28525596592903,63.232846024908426,73.11630733566315,80.4,"Environmental recovery, tourism weakness",83.1
Pahang,2024,87.80394937036297,73.30654069524685,60.42426255804011,72.2748198333724,80.4,"Environmental recovery, tourism weakness",83.1
Perak,2017,80.53114661432674,51.11618144872,39.88529007411014,92.71504667957612,87.2,Growth under environmental stress,83.1
Perak,2018,75.36237904038371,32.093348833884825,45.081453224864845,92.59241565571226,87.2,Growth under environmental stress,83.1
Perak,2019,69.02575395676536,51.31714564042076,46.209831004969516,64.98039722244928,87.2,Growth under environmental stress,83.1
Perak,2020,67.34425914319829,18.09839494144546,37.27675223792144,94.43941509815396,87.2,Growth under environmental stress,83.1
Perak,2021,67.19958069948913,24.630464757011225,36.644679089351875,89.79576046105184,87.2,Growth under environmental stress,83.1
Perak,2022,78.9683460075056,44.78486711828651,42.88897477830072,91.87652584908712,87.2,Growth under environmental stress,83.1
Perak,2023,74.76488089685215,46.452181375391895,47.75921256805605,78.33468376920582,87.2,Growth under environmental stress,83.1
Perak,2024,78.80337862954518,53.050522857683745,51.997377209241805,77.47785668222078,87.2,Growth under environmental stress,83.1
Pulau Pinang,2017,67.53685174751539,48.37647021327883,68.37348590053924,45.18671445450669,85.2,Sustainable improvement,70.1
Pulau Pinang,2018,78.98531036614693,66.59122088593055,67.97720408434394,53.84529027621002,85.2,Sustainable improvement,70.1
Pulau Pinang,2019,75.56326001471416,69.17329510414582,69.17099392628712,44.29329769148892,85.2,Sustainable improvement,70.1
Pulau Pinang,2020,60.30281084170392,25.460727065451188,57.61454414297842,57.80017033318499,85.2,Sustainable improvement,70.1
Pulau Pinang,2021,62.05475725405447,21.390582346652216,61.525263587777125,60.851338196146564,85.2,Sustainable improvement,70.1
Pulau Pinang,2022,79.97286721520176,53.906978029156946,71.45247145328301,62.279702106726944,85.2,Sustainable improvement,70.1
Pulau Pinang,2023,84.0825500317186,60.12157179550927,79.6930094032803,58.39155272017631,85.2,Sustainable improvement,70.1
Pulau Pinang,2024,95.37011285905346,76.15064605255644,83.77562795400237,64.51587519453183,85.2,Sustainable improvement,70.1
Sabah,2017,62.02502168611884,69.88073820703893,40.540950241272924,42.45848856982995,83.3,Growth under environmental stress,75.3
