State,Year,Economic_Social_0_100,sti_status
Johor,2025,58.7892935733624,Full STI: Not calculated for this year/state
Kedah,2025,54.95857487109451,Full STI: Not calculated for this year/state
Kelantan,2025,41.11743541291833,Full STI: Not calculated for this year/state
Melaka,2025,70.8411708948428,Full STI: Not calculated for this year/state
Negeri Sembilan,2025,55.359414128142525,Full STI: Not calculated for this year/state
Pahang,2025,57.99782850658622,Full STI: Not calculated for this year/state
Perak,2025,49.37530648778177,Full STI: Not calculated for this year/state
Perlis,2017,29.921894849793233,Full STI: Not calculated for this year/state
Perlis,2018,35.7354737363781,Full STI: Not calculated for this year/state
Perlis,2019,43.253744447240095,Full STI: Not calculated for this year/state
Perlis,2020,23.434736575794304,Full STI: Not calculated for this year/state
Perlis,2021,16.842689159171908,Full STI: Not calculated for this year/state
Perlis,2022,25.066339808768355,Full STI: Not calculated for this year/state
Perlis,2023,26.104509388225544,Full STI: Not calculated for this year/state
Perlis,2024,37.94314501370387,Full STI: Not calculated for this year/state
Perlis,2025,41.57959994421038,Full STI: Not calculated for this year/state
Pulau Pinang,2025,67.21715524089316,Full STI: Not calculated for this year/state
Sabah,2025,48.36370375182509,Full STI: Not calculated for this year/state
Sarawak,2025,65.07845951793132,Full STI: Not calculated for this year/state
Selangor,2025,60.8796200411039,Full STI: Not calculated for this year/state
Terengganu,2025,52.20526394514485,Full STI: Not calculated for this year/state
W.P. Kuala Lumpur,2017,63.4917751435968,Full STI: Not calculated for this year/state
W.P. Kuala Lumpur,2018,63.57423684834911,Full STI: Not calculated for this year/state
W.P. Kuala Lumpur,2019,66.914648407627,Full STI: Not calculated for this year/state
W.P. Kuala Lumpur,2020,38.67758840716848,Full STI: Not calculated for this year/state
W.P. Kuala Lumpur,2021,37.00420282262748,Full STI: Not calculated for this year/state
W.P. Kuala Lumpur,2022,67.19291224893738,Full STI: Not calculated for this year/state
W.P. Kuala Lumpur,2023,71.76063214643099,Full STI: Not calculated for this year/state
W.P. Kuala Lumpur,2024,71.60482259639137,Full STI: Not calculated for this year/state
W.P. Kuala Lumpur,2025,76.9162847843049,Full STI: Not calculated for this year/state
W.P. Labuan,2025,40.67900799403697,Full STI: Not calculated for this year/state
W.P. Putrajaya,2017,83.62970512755908,Full STI: Not calculated for this year/state
W.P. Putrajaya,2018,100.0,Full STI: Not calculated for this year/state
W.P. Putrajaya,2019,98.44093091433928,Full STI: Not calculated for this year/state
W.P. Putrajaya,2020,53.435415969519106,Full STI: Not calculated for this year/state
W.P. Putrajaya,2021,55.613083783975995,Full STI: Not calculated for this year/state
W.P. Putrajaya,2022,78.50172842749123,Full STI: Not calculated for this year/state
W.P. Putrajaya,2023,77.38296930322068,Full STI: Not calculated for this year/state
W.P. Putrajaya,2024,86.06735577511036,Full STI: Not calculated for this year/state
W.P. Putrajaya,2025,99.90333234024253,Full STI: Not calculated for this year/state
