State,Delta_Economic,Delta_Environmental,Quadrant
Johor,-5.0,6.5,"Environmental recovery, tourism weakness"
Melaka,-7.6,19.2,"Environmental recovery, tourism weakness"
Negeri Sembilan,-5.0,21.4,"Environmental recovery, tourism weakness"
Pahang,-4.0,10.2,"Environmental recovery, tourism weakness"
Terengganu,-8.6,2.8,"Environmental recovery, tourism weakness"
Perak,3.3,-0.9,Growth under environmental stress
Sabah,1.2,-2.4,Growth under environmental stress
Kedah,-1.1,-4.0,Overall deterioration
Sarawak,-1.2,-29.4,Overall deterioration
W.P. Labuan,-9.9,-13.7,Overall deterioration
Kelantan,0.5,1.4,Sustainable improvement
Pulau Pinang,2.0,14.0,Sustainable improvement
Selangor,2.7,9.6,Sustainable improvement
