State,Year,value,indicator,unit,higher_is_better,part_of_sti
Johor,2015,,Avg Length of Stay (nights),nights,True,True
Johor,2015,52.0,Coastal Good+Excellent (%),%,True,True
Johor,2015,67.1,Labour Force Participation Rate (%),%,True,True
Johor,2015,35.583797,Non-Domestic Water Share (%),%,False,True
Johor,2015,,Tourism Receipts per Resident (RM),RM,True,True
Johor,2015,3.1,Unemployment Rate (%),%,False,True
Johor,2015,0.0,Coastal Poor (%),%,,False
Johor,2015,31915.0,Mangrove Area (ha),ha,,False
Johor,2015,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Johor,2015,3.209983,Visitors per Resident,ratio,,False
Johor,2016,,Avg Length of Stay (nights),nights,True,True
Johor,2016,80.0,Coastal Good+Excellent (%),%,True,True
Johor,2016,66.6,Labour Force Participation Rate (%),%,True,True
Johor,2016,39.891135,Non-Domestic Water Share (%),%,False,True
Johor,2016,,Tourism Receipts per Resident (RM),RM,True,True
Johor,2016,3.6,Unemployment Rate (%),%,False,True
Johor,2016,4.0,Coastal Poor (%),%,,False
Johor,2016,31915.0,Mangrove Area (ha),ha,,False
Johor,2016,,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Johor,2016,3.342735,Visitors per Resident,ratio,,False
Johor,2017,2.19,Avg Length of Stay (nights),nights,True,True
Johor,2017,82.758621,Coastal Good+Excellent (%),%,True,True
Johor,2017,67.0,Labour Force Participation Rate (%),%,True,True
Johor,2017,40.530303,Non-Domestic Water Share (%),%,False,True
Johor,2017,1632.675142,Tourism Receipts per Resident (RM),RM,True,True
Johor,2017,3.4,Unemployment Rate (%),%,False,True
Johor,2017,0.0,Coastal Poor (%),%,,False
Johor,2017,18198.0,Mangrove Area (ha),ha,,False
Johor,2017,3449.0,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Johor,2017,3.554406,Visitors per Resident,ratio,,False
Johor,2018,2.54,Avg Length of Stay (nights),nights,True,True
Johor,2018,79.310345,Coastal Good+Excellent (%),%,True,True
Johor,2018,69.475,Labour Force Participation Rate (%),%,True,True
Johor,2018,41.588448,Non-Domestic Water Share (%),%,False,True
Johor,2018,1793.887022,Tourism Receipts per Resident (RM),RM,True,True
Johor,2018,3.0,Unemployment Rate (%),%,False,True
Johor,2018,0.0,Coastal Poor (%),%,,False
Johor,2018,18198.0,Mangrove Area (ha),ha,,False
Johor,2018,3062.32,Municipal Waste Facility Tonnes/Day,tonnes/day,,False
Johor,2018,3.597172,Visitors per Resident,ratio,,False
Johor,2019,2.54,Avg Length of Stay (nights),nights,True,True
Johor,2019,37.931034,Coastal Good+Excellent (%),%,True,True
