state_code,state,district_code,district,mpa_code,island_code,gazetted_date,gazette_number,map_link,carta_mal,notes,marine_park_id,marine_park,mpa_type,gazetted_year,location,agency,area_km2,area_name,legal_authority,gazetted_year_clean,MPA_NAME,MPA_ID
01,Johor,0105,Mersing,010506,01050602,,,,,Small Island,01,Taman Laut Johor,Island,,,,1.33789654,Pulau Duyung,,,Pulau Duyung,MPA_001
01,Johor,0105,Mersing,010506,01050603,,,,,Small Island,01,Taman Laut Johor,Island,,,,0.05677781,Pulau Lang,,,Pulau Lang,MPA_002
01,Johor,0105,Mersing,010506,01050604,,,,,Small Island,01,Taman Laut Johor,Island,,,,0.14900417,Pulau Pinang,,,Pulau Pinang,MPA_003
01,Johor,0105,Mersing,010506,01050601,1994-10-20,P.U. (A) 401/94,PW 229,MAL 625,Gazette Island,01,Taman Laut Johor,Island,,,,14.4204981,Pulau Aur,,1994,Pulau Aur,MPA_004
01,Johor,0105,Mersing,010508,01050801,1994-10-20,P.U. (A) 401/94,L.4655 Peta Siri L7030/PW230,MAL 625,Gazette Island,01,Taman Laut Johor,Island,,,,0.16417522,Pulau Harimau,,1994,Pulau Harimau,MPA_005
01,Johor,0105,Mersing,010510,01051001,1994-10-20,P.U. (A) 401/94,L.4655 Peta Siri L7030/PW230,MAL 625,Gazette Island,01,Taman Laut Johor,Island,,,,0.08431746,Pulau Mensirip,,1994,Pulau Mensirip,MPA_006
01,Johor,0105,Mersing,010509,01050902,,,,,Small Island,01,Taman Laut Johor,Island,,,,0.00489259,Pulau Kelabang,,,Pulau Kelabang,MPA_007
01,Johor,0105,Mersing,010509,01050901,1994-10-20,P.U. (A) 401/94,L.4655 Peta Siri L7030,MAL 625,Gazette Island,01,Taman Laut Johor,Island,,,,0.04525316,Pulau Gual,,1994,Pulau Gual,MPA_008
01,Johor,0105,Mersing,010501,01050101,1994-10-20,P.U. (A) 401/94,L.4655 Peta Siri L7030/PW230,MAL 625,Gazette Island,01,Taman Laut Johor,Island,,,,0.23193361,Pulau Rawa,,1994,Pulau Rawa,MPA_009
01,Johor,0105,Mersing,010502,01050201,1994-10-20,P.U. (A) 401/94,L.4655 Peta Siri L7030/PW230,MAL 625,Gazette Island,01,Taman Laut Johor,Island,,,,0.55157709,Pulau Babi Hujong,,1994,Pulau Babi Hujong,MPA_010
