STATE_NAME,STATION_LOCATION,STATION_ID,YEAR,MWQI,CATEGORY,SOURCE_FILE,MWQI_RANGE,STATION_ID_TYPE,LATITUDE,LONGITUDE,STATION_STATUS
Kedah,Pantai Merdeka,MMKC001,2013,59.92,Coastal,mqims 2013-2015.pdf,Moderate,MODERN,5.66976,100.369,1.0
Kedah,Langkawi Island Resort,MMKC002,2013,60.61,Coastal,mqims 2013-2015.pdf,Moderate,MODERN,6.29669,99.861,1.0
Kedah,Pantai Kok,MMKC003,2013,69.04,Coastal,mqims 2013-2015.pdf,Moderate,MODERN,6.36607,99.6791,1.0
Kedah,Pantai Kuah,MMKC004,2013,62.02,Coastal,mqims 2013-2015.pdf,Moderate,MODERN,6.313553,99.851419,1.0
Kedah,Pantai Pasir Tengkorak,MMKC005,2013,84.28,Coastal,mqims 2013-2015.pdf,Good,MODERN,6.43123,99.7261,1.0
Kedah,Pantai Teluk Burau,MMKC006,2013,81.59,Coastal,mqims 2013-2015.pdf,Good,MODERN,6.36391,99.6685,1.0
Kedah,Pantai Teluk Nibong,MMKC007,2013,74.92,Coastal,mqims 2013-2015.pdf,Moderate,MODERN,6.36022,99.7022,1.0
Kedah,Pantai Tengah,MMKC008,2013,69.04,Coastal,mqims 2013-2015.pdf,Moderate,MODERN,6.27975,99.7275,1.0
Pulau Pinang,Gertak Sanggul,MMPC001,2013,56.6,Coastal,mqims 2013-2015.pdf,Moderate,MODERN,5.27732,100.194,1.0
Pulau Pinang,Kawasan Perindustrian Bayan Lepas I,MMPC002,2013,50.26,Coastal,mqims 2013-2015.pdf,Moderate,MODERN,5.30951,100.301,1.0
Pulau Pinang,Kawasan Perindustrian Bayan Lepas II,HIST_5303933_BAYAN_LEPAS_2,2013,51.17,Coastal,mqims 2013-2015.pdf,Moderate,LEGACY,,,
Pulau Pinang,Kawasan Perindustrian Bayan Lepas III,HIST_5302939_BAYAN_LEPAS_3,2013,49.12,Coastal,mqims 2013-2015.pdf,Poor,LEGACY,,,
Pulau Pinang,Pantai Bersih,MMPC003,2013,61.81,Coastal,mqims 2013-2015.pdf,Moderate,MODERN,5.44167,100.378,1.0
Pulau Pinang,Pantai Miami,MMPC004,2013,50.22,Coastal,mqims 2013-2015.pdf,Moderate,MODERN,5.47923,100.268,1.0
Pulau Pinang,Pantai Pasir Panjang,MMPC005,2013,58.66,Coastal,mqims 2013-2015.pdf,Moderate,MODERN,5.29722,100.183,1.0
Pulau Pinang,Batu Feringgi (Casuarina),MMPC006,2013,53.81,Coastal,mqims 2013-2015.pdf,Moderate,MODERN,5.46944,100.242,1.0
