STATION_ID,STATION_ID_TYPE,STATE_NAME,STATION_LOCATION,CATEGORY,STATION_STATUS,LATITUDE,LONGITUDE,STATE_NAME_MWQI,STATION_LOCATION_MWQI,CATEGORY_MWQI,LATEST_MWQI,LATEST_CLASS,MWQI_2021,MWQI_2022,MWQI_2023,MWQI_2024,MWQI_2025,CHANGE_1Y,CHANGE_5Y,MEAN_5Y,MIN_5Y,TREND_SLOPE_5Y,TREND_DIRECTION,CURRENT_POOR,CURRENT_MODERATE,DECLINING_5Y,DROP_5_PLUS,DROP_10_PLUS
MMKC001,MODERN,Kedah,Pantai Merdeka,Coastal,1.0,5.66976,100.369,Kedah,Pantai Merdeka,Coastal,88.0,Good,85.0,88.0,91.0,92.0,88.0,-4.0,3.0,88.8,85.0,0.9999999999998735,Improving,False,False,False,False,False
MMKC002,MODERN,Kedah,Langkawi Island Resort,Coastal,1.0,6.29669,99.861,Kedah,Langkawi Island Resort,Coastal,96.0,Excellent,94.0,94.0,96.0,95.0,96.0,1.0,2.0,95.0,94.0,0.4999999999999503,Stable,False,False,False,False,False
MMKC003,MODERN,Kedah,Pantai Kok,Coastal,1.0,6.36607,99.6791,Kedah,Pantai Kok,Coastal,96.0,Excellent,90.0,83.0,95.0,96.0,96.0,0.0,6.0,92.0,83.0,2.499999999999367,Improving,False,False,False,False,False
MMKC004,MODERN,Kedah,Pantai Kuah,Coastal,1.0,6.313553,99.851419,Kedah,Pantai Kuah,Coastal,91.0,Excellent,88.0,90.0,91.0,95.0,91.0,-4.0,3.0,91.0,88.0,1.0999999999997785,Improving,False,False,False,False,False
MMKC005,MODERN,Kedah,Pantai Pasir Tengkorak,Coastal,1.0,6.43123,99.7261,Kedah,Pantai Pasir Tengkorak,Coastal,95.0,Excellent,96.0,93.0,93.0,95.0,95.0,0.0,-1.0,94.4,93.0,-1.1699812587723777e-13,Stable,False,False,False,False,False
MMKC006,MODERN,Kedah,Pantai Teluk Burau,Coastal,1.0,6.36391,99.6685,Kedah,Pantai Teluk Burau,Coastal,96.0,Excellent,94.0,86.0,96.0,94.0,96.0,2.0,2.0,93.2,86.0,1.1999999999996196,Improving,False,False,False,False,False
MMKC007,MODERN,Kedah,Pantai Teluk Nibong,Coastal,1.0,6.36022,99.7022,Kedah,Pantai Teluk Nibong,Coastal,96.0,Excellent,86.0,92.0,95.0,96.0,96.0,0.0,10.0,93.0,86.0,2.3999999999997783,Improving,False,False,False,False,False
MMKC008,MODERN,Kedah,Pantai Tengah,Coastal,1.0,6.27975,99.7275,Kedah,Pantai Tengah,Coastal,95.0,Excellent,92.0,92.0,94.0,96.0,95.0,-1.0,3.0,93.8,92.0,0.9999999999997969,Improving,False,False,False,False,False
MMPC001,MODERN,Pulau Pinang,Gertak Sanggul,Coastal,1.0,5.27732,100.194,P. Pinang,Gertak Sanggul,Coastal,88.0,Good,81.0,83.0,94.0,91.0,88.0,-3.0,7.0,87.4,81.0,2.199999999999716,Improving,False,False,False,False,False
MMPC002,MODERN,Pulau Pinang,Kawasan Perindustrian Bayan Lepas I,Coastal,1.0,5.30951,100.301,P. Pinang,Kawasan Perindustrian Bayan Lepas 1,Coastal,84.0,Good,72.0,60.0,79.0,67.0,84.0,17.0,12.0,72.4,60.0,3.099999999999495,Improving,False,False,False,False,False
